gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value,intercept
Y66H1A.4,5516,WBGene00022046,OK,embryo.time,-42.975620170983,1.492115398687,-28.8018072923821,2.84307252233897e-178,-0.006169332317357,count,2.6412143732529e-175,0.698790033717949
hlh-30,1739,WBGene00020930,OK,embryo.time,-1.320466138103,2.566740674366,-0.514452492723882,0.606942156922408,-0.0001731069882977,count,1.0,-2.30743500414232
M03D4.4,7185,WBGene00019751,OK,embryo.time,-57.616566264092,1.250717538232,-46.066809253754,0.0,-0.0082990529788185,count,0.0,1.83682177755759
dnj-11,2960,WBGene00001029,OK,embryo.time,-38.289220319655,2.170227104988,-17.6429555375267,4.56074132721012e-69,-0.0054514057195492,count,3.86750864547418e-66,-0.284055420248516
plp-1,8799,WBGene00004046,OK,embryo.time,-19.927505557354003,1.032720011019,-19.296135781941,4.11482200132778e-82,-0.0028573572957719,count,3.5634358531498597e-79,0.487055497773585
nsy-7,1675,WBGene00044508,OK,embryo.time,45.088294347228,2.105147320045,21.4181183035903,1.75607857547115e-100,0.0035894076979908,count,1.5453491464146102e-97,-4.39946429402183
nhr-66,2077,WBGene00003656,OK,embryo.time,27.346097801638003,1.978356314495,13.8226352863124,3.13898706728592e-43,0.0031387301292496,count,2.4703828219540197e-40,-3.24764014665512
D1046.2,796,WBGene00008363,OK,embryo.time,-42.309950332024,4.723494246244,-8.95734135077396,3.6533139038879e-19,-0.0058012375240096,count,2.54635979100987e-16,-1.65029348697178
nhr-100,1457,WBGene00003690,OK,embryo.time,24.255195497,2.405026445061,10.0852094773434,7.46185637438441e-24,0.0026073741500243,count,5.32030359493608e-21,-3.53365011717888
ham-1,1089,WBGene00001820,OK,embryo.time,-67.99465201960301,4.594751487144,-14.7983307062077,2.97872117827015e-49,-0.0097284841771712,count,2.39787054850747e-46,0.185725047508696
tlp-1,3379,WBGene00006580,OK,embryo.time,-47.225332762596,2.184795196708,-21.615450653568,2.78076634734258e-102,-0.0067743263190752,count,2.4526359183561598e-99,0.558404377831926
